date,day_of_data,day_of_week,direction_of_travel_name,fips_state_code,functional_classification_name,month_of_data,station_id,traffic_volume_counted_after_0000_to_0100,traffic_volume_counted_after_0100_to_0200,traffic_volume_counted_after_0200_to_0300,traffic_volume_counted_after_0300_to_0400,traffic_volume_counted_after_0400_to_0500,traffic_volume_counted_after_0500_to_0600,traffic_volume_counted_after_0600_to_0700,traffic_volume_counted_after_0700_to_0800,traffic_volume_counted_after_0800_to_0900,traffic_volume_counted_after_0900_to_1000,traffic_volume_counted_after_1000_to_1100,traffic_volume_counted_after_1100_to_1200,traffic_volume_counted_after_1200_to_1300,traffic_volume_counted_after_1300_to_1400,traffic_volume_counted_after_1400_to_1500,traffic_volume_counted_after_1500_to_1600,traffic_volume_counted_after_1600_to_1700,traffic_volume_counted_after_1700_to_1800,traffic_volume_counted_after_1800_to_1900,traffic_volume_counted_after_1900_to_2000,traffic_volume_counted_after_2000_to_2100,traffic_volume_counted_after_2100_to_2200,traffic_volume_counted_after_2200_to_2300,traffic_volume_counted_after_2300_to_2400,year_of_data,month_name_of_data,day_name_of_week,sum_of_traffic_on_this_date,state_names,state_names_full
1/4/15,4,1,West,37,Rural: Local System,1,0A3201,2,4,2,1,0,1,1,7,15,20,24,9,16,21,19,29,29,26,17,15,7,9,6,10,15,January,Sunday,290,NC,North Carolina
1/4/15,4,1,South,55,Urban,1,136130,15,9,3,9,14,17,29,51,39,59,90,100,103,114,106,114,96,72,64,57,29,29,27,13,15,January,Sunday,1259,WI,Wisconsin
1/4/15,4,1,East,4,Urban,1,101876,1147,792,642,397,411,558,797,999,1381,2061,2728,3005,3625,4006,4080,3799,3794,3630,3733,2847,2561,2024,1509,944,15,January,Sunday,51470,AZ,Arizona
1/4/15,4,1,South,49,Urban,1,407,42,22,14,12,11,11,34,32,40,47,67,72,113,93,123,131,177,141,124,123,109,62,41,22,15,January,Sunday,1663,UT,Utah
1/4/15,4,1,West,35,Rural,1,r01000,97,83,52,61,71,123,215,361,554,536,543,590,585,576,581,559,503,501,399,306,188,125,79,83,15,January,Sunday,7771,NM,New Mexico
1/5/15,5,2,North,44,Urban,1,330007,43,42,24,35,102,246,523,737,662,612,581,568,590,599,615,844,862,767,476,189,41,21,37,68,15,January,Monday,9284,RI,Rhode Island
1/5/15,5,2,West,53,Rural,1,P28AAA,18,12,23,46,107,243,443,474,381,303,284,305,286,305,266,259,231,212,145,75,53,60,39,15,15,January,Monday,4585,WA,Washington
1/5/15,5,2,East,19,Rural,1,284,2,0,1,2,5,20,36,65,48,52,46,62,65,62,43,60,95,39,24,22,8,4,0,3,15,January,Monday,764,IA,Iowa
1/6/15,6,3,West,39,Urban,1,565,7,17,32,23,31,71,154,184,227,259,146,126,135,123,188,174,202,154,111,77,67,65,27,20,15,January,Tuesday,2620,OH,Ohio
1/7/15,7,4,East,49,Urban,1,712,2,2,1,6,13,20,19,40,61,36,41,67,69,51,52,46,55,69,21,21,12,13,10,5,15,January,Wednesday,732,UT,Utah
1/7/15,7,4,Northwest,23,Rural,1,41714,17,5,7,11,40,76,218,371,328,285,271,237,268,271,294,427,503,392,194,78,76,46,36,16,15,January,Wednesday,4467,ME,Maine
1/7/15,7,4,West,28,Urban,1,10020,18,13,12,7,26,48,138,351,254,248,293,314,361,394,379,402,454,475,296,174,146,106,74,23,15,January,Wednesday,5006,MS,Mississippi
1/8/15,8,5,West,39,Rural,1,783,3,3,3,6,19,67,126,201,106,63,78,68,76,116,107,116,143,120,80,28,25,38,24,5,15,January,Thursday,1621,OH,Ohio
1/8/15,8,5,North,28,Urban,1,170220,35,18,15,11,16,35,54,65,72,46,44,48,82,91,73,118,118,92,64,65,65,55,71,46,15,January,Thursday,1399,MS,Mississippi
1/9/15,9,6,South,49,Rural,1,401,20,6,10,9,9,19,36,95,102,153,142,173,193,217,262,335,381,344,269,174,139,100,79,53,15,January,Friday,3320,UT,Utah
1/9/15,9,6,North,22,Urban,1,47,7,7,5,4,8,41,76,82,79,78,78,119,98,96,94,132,187,94,82,75,35,33,19,30,15,January,Friday,1559,LA,Louisiana
1/9/15,9,6,South,10,Rural,1,8033,5,1,0,2,8,7,37,42,33,25,26,27,35,53,54,106,106,119,92,45,30,25,15,16,15,January,Friday,909,DE,Delaware
1/9/15,9,6,North,55,Urban,1,550006,28,19,16,18,26,42,146,254,256,380,391,393,487,620,839,1141,1611,1494,924,480,312,239,185,100,15,January,Friday,10401,WI,Wisconsin
1/9/15,9,6,North,12,Urban,1,780360,10,5,8,5,33,164,445,677,633,471,419,411,410,413,389,542,527,549,506,302,195,103,75,71,15,January,Friday,7363,FL,Florida
1/9/15,9,6,North,44,Rural,1,370005,166,158,146,141,238,388,594,349,756,501,394,420,611,738,765,818,812,738,644,495,420,392,377,363,15,January,Friday,11424,RI,Rhode Island
1/9/15,9,6,North,12,Urban,1,900165,104,65,47,49,72,117,249,498,584,599,655,742,755,786,830,969,989,1041,820,618,422,392,319,266,15,January,Friday,11988,FL,Florida
1/9/15,9,6,South,51,Urban,1,20417,33,8,20,17,39,148,372,750,547,380,382,356,376,392,426,411,478,546,447,260,153,149,85,83,15,January,Friday,6858,VA,Virginia
1/10/15,10,7,Northwest,23,Urban,1,704,73,29,17,21,30,50,112,158,288,415,595,684,661,627,640,668,495,449,316,205,267,204,119,101,15,January,Saturday,7224,ME,Maine
1/10/15,10,7,North-South or Northeast-Southwest combined (ATR stations only),33,Urban,1,99091,231,149,86,99,135,473,1104,1815,2005,2172,2539,2739,2799,2666,2949,3093,2544,1915,1434,973,1058,943,682,441,15,January,Saturday,35044,NH,New Hampshire
1/10/15,10,7,North,13,Rural,1,171,1,1,0,1,2,3,3,2,3,8,6,11,4,12,12,5,13,11,10,5,9,3,2,1,15,January,Saturday,128,GA,Georgia
1/10/15,10,7,North,41,Rural,1,30019,34,19,13,19,17,35,64,82,155,175,219,206,198,185,195,221,185,178,135,83,111,83,39,53,15,January,Saturday,2704,OR,Oregon
1/11/15,11,1,East,13,Urban,1,300,27,17,15,11,13,33,90,93,135,179,287,311,341,378,430,337,366,327,341,268,174,129,75,57,15,January,Sunday,4434,GA,Georgia
1/11/15,11,1,West,51,Rural,1,170008,143,73,54,61,90,79,165,249,464,651,951,1174,1184,1169,1245,1222,1200,1106,944,620,496,306,221,146,15,January,Sunday,14013,VA,Virginia
1/11/15,11,1,North,36,Urban,1,299,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,15,January,Sunday,7,NY,New York
1/12/15,12,2,North,39,Rural,1,777,23,0,2,3,2,3,4,10,9,5,0,30,71,129,136,166,192,200,111,89,35,24,24,15,15,January,Monday,1283,OH,Ohio
1/12/15,12,2,West,13,Rural,1,279,38,18,16,22,46,96,217,466,353,272,273,276,284,259,275,309,360,399,255,187,123,70,79,74,15,January,Monday,4767,GA,Georgia
1/12/15,12,2,West,36,Urban,1,4381,14,5,5,2,22,221,1219,1695,1081,587,442,453,446,479,684,997,1099,1113,537,217,153,107,86,63,15,January,Monday,11727,NY,New York
1/12/15,12,2,East,19,Rural,1,213,1,0,0,1,0,7,19,34,13,20,14,16,18,29,26,37,36,61,25,14,11,7,2,2,15,January,Monday,393,IA,Iowa
1/12/15,12,2,North,41,Urban,1,22005,167,134,176,219,428,837,1508,1846,1461,1314,1306,1459,1521,1600,1660,1877,2087,1807,1001,641,601,682,480,261,15,January,Monday,25073,OR,Oregon
1/12/15,12,2,East,1,Rural,1,934,179,181,171,204,252,216,178,155,103,79,65,29,17,8,7,8,6,30,121,200,274,156,138,151,15,January,Monday,2928,AL,Alabama
1/13/15,13,3,South,32,Urban,1,31230,187,133,142,200,382,767,1132,1181,1032,951,856,858,908,929,1016,1173,1175,1030,771,617,440,426,352,267,15,January,Tuesday,16925,NV,Nevada
1/13/15,13,3,East,29,Urban,1,4702,41,24,10,29,41,34,49,127,168,99,92,88,109,128,128,173,333,386,453,190,97,69,87,89,15,January,Tuesday,3044,MO,Missouri
1/13/15,13,3,West,26,Rural,1,256309,15,4,4,17,35,118,223,311,225,192,168,153,150,194,179,198,215,206,152,106,70,66,23,13,15,January,Tuesday,3037,MI,Michigan
1/13/15,13,3,South,49,Urban,1,351,175,98,104,117,276,673,1410,1897,1789,1251,1077,1146,1114,1165,1288,1497,1755,1608,1370,956,769,630,470,278,15,January,Tuesday,22913,UT,Utah
1/13/15,13,3,East,16,Urban,1,131,23,5,5,8,13,22,141,270,241,200,168,180,202,206,227,285,326,516,347,149,92,65,57,30,15,January,Tuesday,3778,ID,Idaho
1/13/15,13,3,South,40,Rural,1,AVC020,186,138,103,115,132,303,676,1098,1161,1010,1044,1153,1237,1266,1383,1596,1642,1491,1281,988,776,686,489,275,15,January,Tuesday,20229,OK,Oklahoma
1/13/15,13,3,West,19,Rural,1,115,105,92,82,103,120,141,196,275,336,357,326,360,367,375,385,331,351,335,287,259,259,222,169,137,15,January,Tuesday,5970,IA,Iowa
1/13/15,13,3,East,1,Rural,1,933,149,105,91,54,44,39,15,13,6,28,38,141,205,234,188,171,166,184,238,214,269,299,319,263,15,January,Tuesday,3473,AL,Alabama
1/14/15,14,4,East,40,Urban,1,AVC061,214,141,92,168,275,661,1198,1577,1230,980,983,999,1095,1123,1149,1410,1433,1404,1162,823,708,577,397,292,15,January,Wednesday,20091,OK,Oklahoma
1/14/15,14,4,North,35,Urban,1,K20400,6,2,1,3,2,29,49,47,70,63,65,77,100,78,108,145,196,233,135,72,31,16,10,13,15,January,Wednesday,1551,NM,New Mexico
1/14/15,14,4,West,42,Rural,1,502,175,131,141,155,188,239,362,424,369,408,410,458,495,499,471,576,540,496,439,379,358,303,273,216,15,January,Wednesday,8505,PA,Pennsylvania
1/14/15,14,4,North,1,Urban,1,54,20,23,26,20,66,141,302,431,310,313,351,393,464,450,474,493,516,447,256,152,117,85,41,28,15,January,Wednesday,5919,AL,Alabama
1/14/15,14,4,South,16,Rural,1,55,0,0,0,0,0,2,5,13,20,14,14,11,14,9,13,13,12,17,7,3,9,11,0,0,15,January,Wednesday,187,ID,Idaho
1/14/15,14,4,West,13,Rural,1,219,68,74,78,94,113,173,245,356,395,342,405,401,397,401,431,454,514,545,420,301,226,172,124,124,15,January,Wednesday,6853,GA,Georgia
1/15/15,15,5,North,29,Rural,1,1081,22,16,9,7,25,40,112,307,411,334,208,254,262,274,284,322,414,488,429,193,145,117,60,59,15,January,Thursday,4792,MO,Missouri
1/15/15,15,5,East,51,Rural,1,110048,2,6,2,6,4,11,11,22,28,29,18,28,41,39,39,70,46,42,23,21,20,11,5,7,15,January,Thursday,531,VA,Virginia
1/15/15,15,5,West,36,Rural,1,1280,14,5,3,5,8,37,92,211,208,198,211,216,262,246,302,420,388,299,188,91,76,89,70,75,15,January,Thursday,3714,NY,New York
1/15/15,15,5,South,13,Urban,1,110,143,128,94,114,167,240,460,683,654,609,717,823,772,725,807,835,874,849,640,510,497,402,301,232,15,January,Thursday,12276,GA,Georgia
1/16/15,16,6,South,55,Rural,1,170618,39,25,43,58,84,101,142,199,194,185,230,321,374,370,453,494,555,556,381,288,234,213,100,56,15,January,Friday,5695,WI,Wisconsin
1/16/15,16,6,South,49,Rural,1,431,16,15,11,14,12,25,38,58,56,54,58,63,58,65,62,92,124,89,69,67,57,46,52,23,15,January,Friday,1224,UT,Utah
1/16/15,16,6,North,16,Urban,1,310,3,4,3,16,15,15,27,36,50,56,68,77,77,84,75,85,79,72,52,45,40,20,10,16,15,January,Friday,1025,ID,Idaho
1/17/15,17,7,West,51,Urban,1,20509,159,99,89,75,80,157,297,471,654,962,1134,1397,1347,1180,1220,1266,1339,1342,984,701,507,405,292,201,15,January,Saturday,16358,VA,Virginia
1/17/15,17,7,East,12,Rural,1,169951,145,76,48,49,50,121,341,594,1106,1362,1618,1562,1491,1376,1443,1309,1375,1265,1079,1032,862,524,513,404,15,January,Saturday,19745,FL,Florida
1/17/15,17,7,North,12,Rural,1,269904,176,142,135,105,115,151,192,284,335,408,452,449,440,436,422,411,409,360,325,281,242,212,162,155,15,January,Saturday,6799,FL,Florida
1/17/15,17,7,South,56,Urban,1,00129N,0,2,1,1,0,0,2,5,5,12,20,27,34,40,42,28,28,21,22,14,12,8,4,2,15,January,Saturday,330,WY,Wyoming
1/17/15,17,7,North,12,Urban,1,979913,244,163,119,95,124,227,381,611,728,844,891,858,846,792,736,704,709,609,547,251,475,405,337,299,15,January,Saturday,11995,FL,Florida
1/17/15,17,7,East,39,Rural,1,162,12,8,12,6,6,11,31,31,55,52,100,95,103,120,121,121,132,106,99,60,46,49,56,31,15,January,Saturday,1463,OH,Ohio
1/17/15,17,7,West,12,Urban,1,150086,95,53,28,18,21,38,84,187,270,300,401,536,615,683,709,725,612,610,589,379,237,255,364,157,15,January,Saturday,7966,FL,Florida
1/18/15,18,1,West,51,Rural,1,890045,174,103,82,67,51,107,227,366,572,803,1034,1184,1096,1188,1070,1015,975,907,763,637,485,337,267,175,15,January,Sunday,13685,VA,Virginia
1/18/15,18,1,South,12,Rural,1,269904,164,136,104,115,88,124,145,267,415,617,810,916,930,1011,1060,1038,974,882,683,643,510,423,307,237,15,January,Sunday,12599,FL,Florida
1/19/15,19,2,East,48,Urban,1,237,52,27,26,24,60,222,540,839,801,503,380,408,406,382,417,509,635,820,526,243,171,141,129,90,15,January,Monday,8351,TX,Texas
1/19/15,19,2,North,49,Rural,1,414,0,0,0,0,0,0,5,4,4,7,8,12,26,18,12,13,11,24,6,6,8,3,1,0,15,January,Monday,168,UT,Utah
1/20/15,20,3,East,36,Urban,1,8380,8,7,10,13,49,230,352,515,440,281,214,223,222,213,271,257,315,341,216,103,45,43,23,21,15,January,Tuesday,4412,NY,New York
1/20/15,20,3,South,53,Rural,1,R069AA,5,3,3,6,20,44,80,262,207,221,221,276,319,343,394,391,463,456,185,94,79,71,32,18,15,January,Tuesday,4193,WA,Washington
1/20/15,20,3,South,46,Rural,1,811,4,2,2,0,7,15,50,108,52,52,60,58,36,52,60,62,65,80,31,9,13,10,8,1,15,January,Tuesday,837,SD,South Dakot
1/20/15,20,3,East,51,Urban,1,40349,118,62,44,47,127,325,1320,1390,1027,752,617,739,885,789,809,1086,1222,1451,981,619,434,360,278,231,15,January,Tuesday,15713,VA,Virginia
1/21/15,21,4,East,39,Urban,1,623,146,101,97,99,148,375,629,842,711,612,559,595,627,627,633,714,816,791,588,418,375,306,243,221,15,January,Wednesday,11273,OH,Ohio
1/22/15,22,5,West,16,Rural,1,7,76,66,74,80,76,152,227,292,291,316,326,338,375,406,400,425,449,450,363,276,249,191,136,106,15,January,Thursday,6140,ID,Idaho
1/22/15,22,5,North,18,Rural,1,60104,182,169,153,201,228,406,591,546,506,467,505,538,531,501,541,557,653,714,470,373,347,303,242,212,15,January,Thursday,9936,IN,Indiana
1/22/15,22,5,East,53,Rural,1,S901AA,3,2,1,3,10,13,23,45,68,56,121,99,115,98,138,179,147,120,74,56,30,16,14,6,15,January,Thursday,1437,WA,Washington
1/22/15,22,5,West,51,Urban,1,50617,185,87,62,106,224,685,1487,1856,1548,1165,1117,1316,1315,1348,1807,2402,2651,2423,1822,1153,639,589,391,291,15,January,Thursday,26669,VA,Virginia
1/22/15,22,5,East,53,Urban,1,R036EA,28,15,7,10,42,189,613,1243,810,656,675,776,963,864,1165,1729,2127,1701,794,457,422,579,314,98,15,January,Thursday,16277,WA,Washington
1/23/15,23,6,West,36,Rural,1,7480,1,1,2,2,10,46,103,97,75,44,81,67,65,59,60,61,60,62,38,21,20,19,11,1,15,January,Friday,1006,NY,New York
1/23/15,23,6,North,39,Rural,1,520,1,2,2,8,17,49,67,120,82,71,58,68,63,72,81,91,98,105,88,34,36,24,30,16,15,January,Friday,1283,OH,Ohio
1/23/15,23,6,West,5,Urban,1,600639,169,122,108,121,203,376,607,716,738,717,787,882,970,1007,1016,1217,1240,1097,863,694,557,578,479,372,15,January,Friday,15636,AR,Arkansas
1/24/15,24,7,South,36,Rural,1,3411,60,46,30,47,76,92,177,222,355,435,531,569,563,552,544,498,433,351,259,186,174,146,76,66,15,January,Saturday,6488,NY,New York
1/24/15,24,7,South,39,Urban,1,578,120,63,47,24,32,94,207,425,596,651,728,938,1093,1151,1171,1175,1208,1143,940,685,519,424,378,252,15,January,Saturday,14064,OH,Ohio
1/24/15,24,7,South,47,Urban,1,540,70,40,47,15,28,31,45,100,112,145,181,221,260,260,275,276,240,229,224,179,150,144,115,97,15,January,Saturday,3484,TN,Tennessee
1/25/15,25,1,South,55,Urban,1,136113,166,94,77,40,55,58,174,308,449,718,1004,1107,1278,1326,1309,1258,1182,998,752,537,405,271,202,99,15,January,Sunday,13867,WI,Wisconsin
1/25/15,25,1,South,53,Urban,1,P21AAA,64,39,26,20,31,26,40,66,148,201,272,311,395,399,435,438,446,360,242,191,153,102,62,32,15,January,Sunday,4499,WA,Washington
1/25/15,25,1,East,34,Urban,1,E01131,121,69,46,37,36,113,191,233,377,464,625,776,888,985,972,1014,997,886,836,585,459,358,260,149,15,January,Sunday,11477,NJ,New Jersey
1/25/15,25,1,South,6,Urban,1,86090,162,117,86,73,88,114,174,251,298,415,448,529,577,555,620,575,577,575,502,447,370,280,181,123,15,January,Sunday,8137,CA,California
1/26/15,26,2,North,1,Rural,1,916,60,54,55,88,105,187,273,362,408,406,428,433,395,386,376,370,418,367,303,231,173,154,112,87,15,January,Monday,6231,AL,Alabama
1/26/15,26,2,East,32,Urban,1,311220,48,23,23,74,152,619,986,1090,845,758,748,838,915,968,1129,1553,1721,1778,881,505,402,233,135,73,15,January,Monday,16497,NV,Nevada
1/26/15,26,2,East,29,Urban,1,6352,30,16,9,9,37,114,307,728,647,555,554,651,732,642,664,695,830,703,528,354,253,207,102,69,15,January,Monday,9436,MO,Missouri
1/26/15,26,2,South,4,Urban,1,100333,418,307,307,563,1265,3033,4499,4306,4299,1398,3143,3218,3344,3503,4062,4093,3856,3053,2436,1856,1401,1237,920,642,15,January,Monday,57159,AZ,Arizona
1/26/15,26,2,South,35,Urban: Collector,1,TOC-A0,7,6,7,4,15,20,55,158,161,184,192,228,200,189,197,207,192,190,103,67,48,34,18,19,15,January,Monday,2501,NM,New Mexico
1/27/15,27,3,East,15,Urban,1,92016,46,30,40,71,123,242,371,603,591,481,492,529,518,516,531,587,396,388,292,294,247,173,108,92,15,January,Tuesday,7761,HI,Hawaii
1/27/15,27,3,North,8,Rural,1,220,6,10,13,10,27,132,187,104,96,120,103,120,122,103,122,100,116,129,79,51,40,37,10,16,15,January,Tuesday,1853,CO,Colorado
1/27/15,27,3,Southeast,16,Urban,1,236,10,17,10,12,29,92,411,691,599,436,377,371,418,363,404,369,516,515,361,219,201,127,76,50,15,January,Tuesday,6674,ID,Idaho
1/28/15,28,4,South,12,Urban,1,140190,42,21,20,33,75,482,1435,1220,932,697,568,502,501,479,513,530,562,562,457,234,155,106,92,52,15,January,Wednesday,10270,FL,Florida
1/28/15,28,4,West,13,Urban,1,261,39,33,25,26,31,68,174,335,295,261,333,386,368,388,409,483,520,528,345,260,213,169,114,90,15,January,Wednesday,5893,GA,Georgia
1/28/15,28,4,North,29,Urban,1,4891,125,56,41,51,92,53,149,301,602,474,468,503,543,583,578,912,1280,1103,1680,850,498,361,291,181,15,January,Wednesday,11775,MO,Missouri
1/28/15,28,4,North,12,Urban,1,870178,147,67,67,79,124,445,1195,967,857,880,804,836,826,855,918,851,923,959,817,703,603,531,444,325,15,January,Wednesday,15223,FL,Florida
1/28/15,28,4,North,16,Urban,1,246,16,7,5,10,13,48,95,207,203,226,228,254,243,248,283,347,476,467,242,172,129,104,43,25,15,January,Wednesday,4091,ID,Idaho
1/29/15,29,5,West,6,Urban,1,116770,0,0,27,31,137,648,1407,1766,1632,1262,0,0,0,0,1546,1700,1567,1410,1368,873,633,522,297,142,15,January,Thursday,16968,CA,California
1/29/15,29,5,North,40,Rural,1,AVC035,14,8,7,14,28,113,190,262,216,179,205,209,223,251,356,330,348,358,190,124,67,77,46,27,15,January,Thursday,3842,OK,Oklahoma
1/29/15,29,5,South,23,Rural,1,41611,11,3,2,6,13,66,225,277,209,172,184,187,189,189,213,238,303,207,159,95,69,56,27,20,15,January,Thursday,3120,ME,Maine
1/30/15,30,6,South,24,Rural,1,0P0058,25,11,17,12,24,99,150,267,211,198,234,227,275,302,347,441,498,501,335,259,193,197,92,69,15,January,Friday,4984,MD,Maryland
1/30/15,30,6,West,12,Rural,1,299936,97,75,80,78,122,151,220,268,322,407,464,474,453,473,463,447,482,422,384,335,236,204,170,142,15,January,Friday,6969,FL,Florida
1/31/15,31,7,South,18,Urban,1,493300,242,116,129,112,140,160,237,387,458,566,662,721,785,746,732,758,776,674,654,556,478,407,318,242,15,January,Saturday,11056,IN,Indiana
1/31/15,31,7,North,51,Rural,1,20172,233,175,142,147,140,157,245,397,558,683,796,841,776,843,915,867,899,807,745,657,489,428,274,243,15,January,Saturday,12457,VA,Virginia
1/31/15,31,7,West,24,Rural,1,0P0002,60,32,28,24,30,38,77,149,186,289,364,471,517,438,503,437,461,449,408,319,283,227,188,89,15,January,Saturday,6067,MD,Maryland
2/1/15,1,1,North,13,Urban,2,243,55,42,49,52,26,27,32,69,124,238,212,280,337,348,333,322,294,233,214,133,111,63,120,82,15,February,Sunday,3796,GA,Georgia
2/1/15,1,1,East,32,Urban,2,75120,24,7,14,14,36,29,47,72,62,142,179,191,204,175,195,128,110,80,58,87,78,45,25,4,15,February,Sunday,2006,NV,Nevada
2/1/15,1,1,West,36,Rural,2,5182,2,2,1,2,0,1,0,3,13,42,36,60,57,39,34,36,33,13,7,4,4,2,4,6,15,February,Sunday,401,NY,New York
2/1/15,1,1,West,27,Rural,2,35,2,1,0,0,1,1,1,0,3,5,19,18,29,34,33,31,35,29,15,11,8,7,5,4,15,February,Sunday,292,MN,Minnesota
2/1/15,1,1,East,12,Urban,2,600168,97,77,48,40,56,80,134,308,399,465,637,582,682,600,606,556,505,380,243,195,146,290,165,86,15,February,Sunday,7377,FL,Florida
2/2/15,2,2,North,51,Urban,2,140120,114,72,50,18,32,106,343,472,458,385,338,394,397,482,443,546,505,494,292,184,162,151,117,112,15,February,Monday,6667,VA,Virginia
2/2/15,2,2,West,46,Rural,2,807,22,15,9,9,32,56,145,264,206,223,210,199,206,215,214,238,237,175,167,126,109,91,70,45,15,February,Monday,3283,SD,South Dakot
2/3/15,3,3,West,47,Urban,2,434,5,6,2,3,8,187,766,332,144,127,107,117,95,86,117,149,171,217,93,34,15,7,6,8,15,February,Tuesday,2802,TN,Tennessee
2/3/15,3,3,East,44,Urban,2,230004,6,3,2,3,19,22,95,251,352,265,199,182,170,193,236,359,394,419,297,158,96,96,53,26,15,February,Tuesday,3896,RI,Rhode Island
2/4/15,4,4,North,35,Rural,2,C74000,8,2,1,2,0,13,44,59,63,45,48,53,57,64,75,97,107,143,91,45,46,16,14,6,15,February,Wednesday,1099,NM,New Mexico
2/4/15,4,4,Southwest,16,Rural,2,181,3,6,0,1,9,8,33,31,53,47,30,36,47,45,52,55,57,52,30,22,11,14,7,0,15,February,Wednesday,649,ID,Idaho
2/4/15,4,4,North,49,Urban,2,611,35,26,44,68,121,319,492,779,711,521,468,488,513,468,567,555,554,595,466,343,237,179,107,63,15,February,Wednesday,8719,UT,Utah
2/4/15,4,4,West,48,Rural,2,111325,159,135,143,124,202,237,347,450,465,462,491,452,452,489,516,480,481,504,420,344,322,233,231,169,15,February,Wednesday,8308,TX,Texas
2/4/15,4,4,South,40,Rural,2,AVC070,7,13,8,15,15,38,82,235,163,113,107,119,121,105,132,200,159,155,87,56,57,20,19,57,15,February,Wednesday,2083,OK,Oklahoma
2/4/15,4,4,North,10,Rural,2,8082,64,30,50,60,78,166,242,402,352,341,380,400,376,400,421,450,502,435,299,246,236,125,114,91,15,February,Wednesday,6260,DE,Delaware
